Car Model ,Review,Style,Comfort,Fuel Economy,Performance,Value for Money
2021 United Alpha 1.0 Manual,Exterior: Beautiful Look from front and back but if door handles is also Body color then it is good thing Interior: Interior is look cool and inspired by audi and mg and Lcd location is also attractive drive: Drive is smooth and soft gear is also smooth fuel average is 14/15 km/L within city  Interesting features: 1. Power windows control with key. 2. Back wiper 3. Defogger 4. 4 cylinder engine (EURO 4) 4. Alloy wheels  Great features in less price Preferable Best Car 2021  ,5-rating,5-rating,5-rating,5-rating,5-rating
2009 Honda City 1.3 i-VTEC Prosmatec,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,5-rating,5-rating,5-rating
2009 Honda City 1.3 i-VTEC Prosmatec,Good car but style is old and fuel economy is ok. But resell value for auto version is awsome. Why demand is increased suddenly i dont know. Auto car demand is so high as compared to supply that prices for old model 2009 has been at its peak. However as far as i know new shape of city is round the corner and i am expecting that after its lauching demand for old model will decline.,5-rating,5-rating,5-rating,3-rating,5-rating
2021 KIA Picanto 1.0 MT,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),5-rating,5-rating,2-rating,5-rating,4-rating
2009 Toyota Corolla Altis SR Cruisetronic 1.8,Good car but style is old and fuel economy is ok. But resell value for auto version is awsome. Why demand is increased suddenly i dont know. Auto car demand is so high as compared to supply that prices for old model 2009 has been at its peak. However as far as i know new shape of city is round the corner and i am expecting that after its lauching demand for old model will decline.,5-rating,4-rating,3-rating,3-rating,5-rating
2002 Toyota Platz F 1.0,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),3-rating,2-rating,5-rating,5-rating,5-rating
2020 Hyundai Santa Fe GLS,"After doing a lot of research in the market found out that within 2 million bracket no new Japanese hatchback was available so i opted for picanto. The design is very futuristic and the car is very comfortable to drive Performance is fine keeping in view the 1000cc , gear shifting is like butter fuel average increases after 1000 kms , build quality is awesome please don't compare it with the other kachra cars offered by Pak Suzuki Final decision : GO FOR IT YOU WILL NOT REGRET",4-rating,3-rating,2-rating,3-rating,1-rating
2012 Toyota Corolla XLi VVTi,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),2-rating,5-rating,3-rating,4-rating,5-rating
2021 Proton X70 Premium FWD,Stylish exterior. Body is more stronger than any new local car. Great engine performance for inter cities travel. Nice interior and features. A/c is very good. Parts are available easily for proper maintainance. Alloyrims with great suspion for local roads. Highly recommend this car way better than rebirth and city. Highly demanded car in market and resale value is exceptionally good. Thanks for reading!,3-rating,4-rating,5-rating,4-rating,5-rating
2017 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (1 out of 1 person found this review helpful),5-rating,2-rating,4-rating,5-rating,5-rating
2009 Toyota Corolla GLi 1.3 VVTi,"I used Toyota Platz 2002 for almost 10 years. A good car with safety features. Strong body, parts are easily available, low maintainance, great fuel average 13\14 in city without A/C and 15/16 on highway. Engine power is not great but fine for use in city. A/C is good. large trunk space. A proper family car in reasonable price.",3-rating,3-rating,3-rating,4-rating,5-rating
2019 FAW V2 VCT-i,Do you find this review helpful? YesNo Report (0 out of 0 people found this review helpful),4-rating,5-rating,4-rating,5-rating,1-rating
